Datum,Zeitzone,von,bis,Datenkategorie,Datentyp,Einheit,AEP-Schätzer,Status
02.01.2026,UTC,01:45,02:00,AEP-Schätzer,Betrieblich,EUR/MWh,57.65,0.0
02.01.2026,UTC,02:00,02:15,AEP-Schätzer,Betrieblich,EUR/MWh,81.47,0.0
02.01.2026,UTC,02:15,02:30,AEP-Schätzer,Betrieblich,EUR/MWh,109.07,0.0
02.01.2026,UTC,02:30,02:45,AEP-Schätzer,Betrieblich,EUR/MWh,102.23,0.0
02.01.2026,UTC,02:45,03:00,AEP-Schätzer,Betrieblich,EUR/MWh,99.47,0.0
02.01.2026,UTC,03:00,03:15,AEP-Schätzer,Betrieblich,EUR/MWh,94.25,0.0
02.01.2026,UTC,03:15,03:30,AEP-Schätzer,Betrieblich,EUR/MWh,101.1,0.0
02.01.2026,UTC,03:30,03:45,AEP-Schätzer,Betrieblich,EUR/MWh,124.82,0.0
02.01.2026,UTC,03:45,04:00,AEP-Schätzer,Betrieblich,EUR/MWh,133.29,0.0
02.01.2026,UTC,04:00,04:15,AEP-Schätzer,Betrieblich,EUR/MWh,121.82,0.0
02.01.2026,UTC,04:15,04:30,AEP-Schätzer,Betrieblich,EUR/MWh,130.98,0.0
02.01.2026,UTC,04:30,04:45,AEP-Schätzer,Betrieblich,EUR/MWh,127.85,0.0
02.01.2026,UTC,04:45,05:00,AEP-Schätzer,Betrieblich,EUR/MWh,116.06,0.0
02.01.2026,UTC,05:00,05:15,AEP-Schätzer,Betrieblich,EUR/MWh,115.46,0.0
02.01.2026,UTC,05:15,05:30,AEP-Schätzer,Betrieblich,EUR/MWh,76.07,0.0
02.01.2026,UTC,05:30,05:45,AEP-Schätzer,Betrieblich,EUR/MWh,58.23,0.0
02.01.2026,UTC,05:45,06:00,AEP-Schätzer,Betrieblich,EUR/MWh,52.63,0.0
02.01.2026,UTC,06:00,06:15,AEP-Schätzer,Betrieblich,EUR/MWh,49.41,0.0
02.01.2026,UTC,06:15,06:30,AEP-Schätzer,Betrieblich,EUR/MWh,96.3,0.0
02.01.2026,UTC,06:30,06:45,AEP-Schätzer,Betrieblich,EUR/MWh,48.07,0.0
02.01.2026,UTC,06:45,07:00,AEP-Schätzer,Betrieblich,EUR/MWh,49.85,0.0
02.01.2026,UTC,07:00,07:15,AEP-Schätzer,Betrieblich,EUR/MWh,69.1,0.0
02.01.2026,UTC,07:15,07:30,AEP-Schätzer,Betrieblich,EUR/MWh,69.79,0.0
02.01.2026,UTC,07:30,07:45,AEP-Schätzer,Betrieblich,EUR/MWh,110.97,0.0
02.01.2026,UTC,07:45,08:00,AEP-Schätzer,Betrieblich,EUR/MWh,114.38,0.0
02.01.2026,UTC,08:00,08:15,AEP-Schätzer,Betrieblich,EUR/MWh,147.35,0.0
02.01.2026,UTC,08:15,08:30,AEP-Schätzer,Betrieblich,EUR/MWh,148.11,0.0
02.01.2026,UTC,08:30,08:45,AEP-Schätzer,Betrieblich,EUR/MWh,96.23,0.0
02.01.2026,UTC,08:45,09:00,AEP-Schätzer,Betrieblich,EUR/MWh,85.99,0.0
02.01.2026,UTC,09:00,09:15,AEP-Schätzer,Betrieblich,EUR/MWh,118.18,0.0
02.01.2026,UTC,09:15,09:30,AEP-Schätzer,Betrieblich,EUR/MWh,163.94,0.0
02.01.2026,UTC,09:30,09:45,AEP-Schätzer,Betrieblich,EUR/MWh,132.63,0.0
02.01.2026,UTC,09:45,10:00,AEP-Schätzer,Betrieblich,EUR/MWh,156.57,0.0
02.01.2026,UTC,10:00,10:15,AEP-Schätzer,Betrieblich,EUR/MWh,79.57,0.0
02.01.2026,UTC,10:15,10:30,AEP-Schätzer,Betrieblich,EUR/MWh,150.38,0.0
02.01.2026,UTC,10:30,10:45,AEP-Schätzer,Betrieblich,EUR/MWh,128.11,0.0
02.01.2026,UTC,10:45,11:00,AEP-Schätzer,Betrieblich,EUR/MWh,68.43,0.0
02.01.2026,UTC,11:00,11:15,AEP-Schätzer,Betrieblich,EUR/MWh,67.67,0.0
02.01.2026,UTC,11:15,11:30,AEP-Schätzer,Betrieblich,EUR/MWh,56.18,0.0
02.01.2026,UTC,11:30,11:45,AEP-Schätzer,Betrieblich,EUR/MWh,64.91,0.0
02.01.2026,UTC,11:45,12:00,AEP-Schätzer,Betrieblich,EUR/MWh,65.93,0.0
02.01.2026,UTC,12:00,12:15,AEP-Schätzer,Betrieblich,EUR/MWh,69.98,0.0
02.01.2026,UTC,12:15,12:30,AEP-Schätzer,Betrieblich,EUR/MWh,66.57,0.0
02.01.2026,UTC,12:30,12:45,AEP-Schätzer,Betrieblich,EUR/MWh,77.04,0.0
02.01.2026,UTC,12:45,13:00,AEP-Schätzer,Betrieblich,EUR/MWh,78.38,0.0
02.01.2026,UTC,13:00,13:15,AEP-Schätzer,Betrieblich,EUR/MWh,93.9,0.0
02.01.2026,UTC,13:15,13:30,AEP-Schätzer,Betrieblich,EUR/MWh,99.18,0.0
02.01.2026,UTC,13:30,13:45,AEP-Schätzer,Betrieblich,EUR/MWh,123.23,0.0
02.01.2026,UTC,13:45,14:00,AEP-Schätzer,Betrieblich,EUR/MWh,117.12,0.0
02.01.2026,UTC,14:00,14:15,AEP-Schätzer,Betrieblich,EUR/MWh,144.45,0.0
02.01.2026,UTC,14:15,14:30,AEP-Schätzer,Betrieblich,EUR/MWh,152.91,0.0
02.01.2026,UTC,14:30,14:45,AEP-Schätzer,Betrieblich,EUR/MWh,151.11,0.0
02.01.2026,UTC,14:45,15:00,AEP-Schätzer,Betrieblich,EUR/MWh,150.3,0.0
02.01.2026,UTC,15:00,15:15,AEP-Schätzer,Betrieblich,EUR/MWh,145.06,0.0
02.01.2026,UTC,15:15,15:30,AEP-Schätzer,Betrieblich,EUR/MWh,123.25,0.0
02.01.2026,UTC,15:30,15:45,AEP-Schätzer,Betrieblich,EUR/MWh,87.18,0.0
02.01.2026,UTC,15:45,16:00,AEP-Schätzer,Betrieblich,EUR/MWh,67.99,0.0
02.01.2026,UTC,16:00,16:15,AEP-Schätzer,Betrieblich,EUR/MWh,78.25,0.0
02.01.2026,UTC,16:15,16:30,AEP-Schätzer,Betrieblich,EUR/MWh,67.68,0.0
02.01.2026,UTC,16:30,16:45,AEP-Schätzer,Betrieblich,EUR/MWh,98.35,0.0
02.01.2026,UTC,16:45,17:00,AEP-Schätzer,Betrieblich,EUR/MWh,94.29,0.0
02.01.2026,UTC,17:00,17:15,AEP-Schätzer,Betrieblich,EUR/MWh,63.76,0.0
02.01.2026,UTC,17:15,17:30,AEP-Schätzer,Betrieblich,EUR/MWh,73.03,0.0
02.01.2026,UTC,17:30,17:45,AEP-Schätzer,Betrieblich,EUR/MWh,74.85,0.0
02.01.2026,UTC,17:45,18:00,AEP-Schätzer,Betrieblich,EUR/MWh,62.01,0.0
02.01.2026,UTC,18:00,18:15,AEP-Schätzer,Betrieblich,EUR/MWh,131.41,0.0
02.01.2026,UTC,18:15,18:30,AEP-Schätzer,Betrieblich,EUR/MWh,132.9,0.0
02.01.2026,UTC,18:30,18:45,AEP-Schätzer,Betrieblich,EUR/MWh,152.95,0.0
02.01.2026,UTC,18:45,19:00,AEP-Schätzer,Betrieblich,EUR/MWh,114.44,0.0
02.01.2026,UTC,19:00,19:15,AEP-Schätzer,Betrieblich,EUR/MWh,109.51,0.0
02.01.2026,UTC,19:15,19:30,AEP-Schätzer,Betrieblich,EUR/MWh,107.29,0.0
02.01.2026,UTC,19:30,19:45,AEP-Schätzer,Betrieblich,EUR/MWh,102.6,0.0
02.01.2026,UTC,19:45,20:00,AEP-Schätzer,Betrieblich,EUR/MWh,100.47,0.0
02.01.2026,UTC,20:00,20:15,AEP-Schätzer,Betrieblich,EUR/MWh,112.7,0.0
02.01.2026,UTC,20:15,20:30,AEP-Schätzer,Betrieblich,EUR/MWh,131.29,0.0
02.01.2026,UTC,20:30,20:45,AEP-Schätzer,Betrieblich,EUR/MWh,140.66,0.0
02.01.2026,UTC,20:45,21:00,AEP-Schätzer,Betrieblich,EUR/MWh,137.49,0.0
02.01.2026,UTC,21:00,21:15,AEP-Schätzer,Betrieblich,EUR/MWh,158.38,0.0
02.01.2026,UTC,21:15,21:30,AEP-Schätzer,Betrieblich,EUR/MWh,148.9,0.0
02.01.2026,UTC,21:30,21:45,AEP-Schätzer,Betrieblich,EUR/MWh,134.69,0.0
02.01.2026,UTC,21:45,22:00,AEP-Schätzer,Betrieblich,EUR/MWh,130.78,0.0
02.01.2026,UTC,22:00,22:15,AEP-Schätzer,Betrieblich,EUR/MWh,120.6,0.0
02.01.2026,UTC,22:15,22:30,AEP-Schätzer,Betrieblich,EUR/MWh,85.48,0.0
02.01.2026,UTC,22:30,22:45,AEP-Schätzer,Betrieblich,EUR/MWh,103.77,0.0
02.01.2026,UTC,22:45,23:00,AEP-Schätzer,Betrieblich,EUR/MWh,80.74,0.0
02.01.2026,UTC,23:00,23:15,AEP-Schätzer,Betrieblich,EUR/MWh,6.54,0.0
